"from","to","lty","value","threshold_result"
"RCVRN","GNGT1",2,-0.8692,"-1"
"RCVRN","AIPL1",2,-0.937,"-1"
"RCVRN","FTH1",2,-0.8806,"-1"
"GNGT1","PDE6G",2,-0.6024,"-1"
"GNGT1","RHO",2,-0.92,"-1"
"GNGT1","SAG",2,-0.9772,"-1"
"GNGT1","PTMA",2,-0.7534,"-1"
"WIF1","RGR",2,-0.7186,"-1"
"WIF1","FRZB",2,-0.838,"-1"
"WIF1","TF",2,-0.931,"-1"
"PDE6G","NRL",2,-0.9852,"-1"
"PDE6G","AIPL1",2,-0.8176,"-1"
"PDE6G","GNAT1",2,-0.991,"-1"
"NRL","HSP90AA1",2,-0.6774,"-1"
"IGFBP5","RGR",2,-0.963,"-1"
"RHO","ROM1",2,-0.9636,"-1"
"RHO","SAG",2,-0.9214,"-1"
"ROM1","GNAT1",2,-0.9166,"-1"
"ROM1","VIM",2,-0.9784,"-1"
"CALM1","H3F3B",2,-0.7924,"-1"
"CALM1","GAPDH",2,-0.982,"-1"
"SAG","CLU",2,-0.669,"-1"
"AIPL1","CRABP1",2,-0.7354,"-1"
"AIPL1","RGR",2,-0.9754,"-1"
"AIPL1","FTH1",2,-0.9036,"-1"
"HSP90AA1","PTMA",2,-0.7084,"-1"
"HSP90AA1","CRABP1",2,-0.6568,"-1"
"PTMA","H3F3B",2,-0.9562,"-1"
"PTMA","FTH1",2,-0.5994,"-1"
"VIM","RGR",2,-0.731,"-1"
"RGR","JUN",2,-0.6296,"-1"
"RGR","TF",2,-0.985,"-1"
"RTN4","H3F3B",2,-0.8494,"-1"
"RTN4","GAPDH",2,-0.8082,"-1"
"H3F3B","GAPDH",2,-0.9764,"-1"
