"from","to","lty","value","threshold_result"
"RCVRN","ROM1",1,0.875,"1"
"GNGT1","NRL",1,0.9366,"1"
"GNGT1","SAG",1,0.604,"1"
"GNGT1","VIM",1,0.8936,"1"
"PDE6G","SAG",1,0.912,"1"
"PDE6G","GNAT1",1,0.565,"1"
"PDE6G","FTH1",1,0.6602,"1"
"NRL","AIPL1",1,0.769,"1"
"NRL","GNAT1",1,0.9516,"1"
"NRL","TF",1,0.9102,"1"
"NRL","FTH1",1,0.9138,"1"
"RHO","GNAT1",1,0.9738,"1"
"RHO","FRZB",1,0.6564,"1"
"ROM1","SAG",1,0.7708,"1"
"ROM1","FTH1",1,0.795,"1"
"CALM1","SAG",1,0.989,"1"
"SAG","AIPL1",1,0.7486,"1"
"SAG","FRZB",1,0.547,"1"
"SAG","GLUL",1,0.974,"1"
"SAG","TF",1,0.9248,"1"
"AIPL1","HSP90AA1",1,0.9858,"1"
"AIPL1","GAPDH",1,0.672,"1"
"HSP90AA1","H3F3B",1,0.8724,"1"
"HSP90AA1","CLU",1,0.8466,"1"
"HSP90AA1","TF",1,0.9796,"1"
"PTMA","RTN4",1,0.6472,"1"
"RTN4","H3F3B",1,0.9046,"1"
"RTN4","FTH1",1,0.9166,"1"
"HSPA1A","JUN",1,0.991,"1"
"HSPA1A","FTH1",1,0.9478,"1"
"H3F3B","GAPDH",1,0.9832,"1"
