"from","to","lty","value","threshold_result"
"RCVRN","SAG",1,0.5052,"1"
"RCVRN","PTMA",1,0.5346,"1"
"GNGT1","ROM1",1,0.6946,"1"
"GNGT1","CRABP1",1,0.988,"1"
"GNGT1","TF",1,0.9488,"1"
"WIF1","IGFBP5",1,0.986,"1"
"WIF1","CALM1",1,0.506,"1"
"WIF1","CRABP1",1,0.621,"1"
"WIF1","VIM",1,0.9024,"1"
"WIF1","H3F3B",1,0.6302,"1"
"WIF1","FTH1",1,0.9794,"1"
"PDE6G","SAG",1,0.756,"1"
"NRL","HSPA1A",1,0.742,"1"
"IGFBP5","PTMA",1,0.9378,"1"
"IGFBP5","VIM",1,0.859,"1"
"IGFBP5","GAPDH",1,0.9912,"1"
"IGFBP5","TF",1,0.7416,"1"
"RHO","GNAT1",1,0.8808,"1"
"ROM1","H3F3B",1,0.7146,"1"
"CALM1","CRABP1",1,0.8864,"1"
"CALM1","VIM",1,0.996,"1"
"CALM1","JUN",1,0.8352,"1"
"CALM1","FTH1",1,0.7318,"1"
"SAG","CRABP1",1,0.7748,"1"
"SAG","H3F3B",1,0.8742,"1"
"GNAT1","GAPDH",1,0.801,"1"
"HSP90AA1","RTN4",1,0.932,"1"
"PTMA","CRABP1",1,0.9928,"1"
"PTMA","RGR",1,0.919,"1"
"PTMA","HSPA1A",1,0.7224,"1"
"PTMA","TF",1,0.7466,"1"
"CRABP1","RGR",1,0.6944,"1"
"CRABP1","FRZB",1,0.9952,"1"
"CRABP1","H3F3B",1,0.9,"1"
"VIM","RTN4",1,0.9954,"1"
"VIM","H3F3B",1,0.6738,"1"
"VIM","JUN",1,0.62,"1"
"VIM","TF",1,0.6062,"1"
"RGR","RTN4",1,0.5184,"1"
"RGR","FRZB",1,0.995,"1"
"RGR","GAPDH",1,0.9876,"1"
"RTN4","GLUL",1,0.5372,"1"
"RTN4","CLU",1,0.8168,"1"
"FRZB","FTH1",1,0.8662,"1"
"HSPA1A","GLUL",1,0.989,"1"
"HSPA1A","FTH1",1,0.6148,"1"
"H3F3B","TF",1,0.9952,"1"
"GLUL","FTH1",1,0.9924,"1"
"CLU","GAPDH",1,0.9806,"1"
"CLU","FTH1",1,0.9238,"1"
