"from","to","lty","value","threshold_result"
"RCVRN","GNGT1",1,0.9176,"1"
"RCVRN","ROM1",1,0.9034,"1"
"RCVRN","GNAT1",1,0.8158,"1"
"RCVRN","PTMA",1,0.5782,"1"
"GNGT1","NRL",1,0.6326,"1"
"GNGT1","GAPDH",1,0.9506,"1"
"PDE6G","PTMA",1,0.7178,"1"
"PDE6G","VIM",1,0.6904,"1"
"PDE6G","FTH1",1,0.6098,"1"
"NRL","HSPA1A",1,0.9332,"1"
"NRL","H3F3B",1,0.9874,"1"
"RHO","AIPL1",1,0.9188,"1"
"RHO","GNAT1",1,0.962,"1"
"ROM1","AIPL1",1,0.6572,"1"
"ROM1","H3F3B",1,0.7718,"1"
"CALM1","RTN4",1,0.606,"1"
"AIPL1","HSP90AA1",1,0.9954,"1"
"AIPL1","PTMA",1,0.61,"1"
"HSP90AA1","RTN4",1,0.9858,"1"
"PTMA","RTN4",1,0.9732,"1"
