"from","to","lty","value","threshold_result"
"RCVRN","GNGT1",2,-0.5256,"-1"
"RCVRN","SAG",2,-0.9778,"-1"
"GNGT1","GNAT1",2,-0.765,"-1"
"WIF1","RTN4",2,-0.9566,"-1"
"WIF1","FRZB",2,-0.7616,"-1"
"WIF1","H3F3B",2,-0.6484,"-1"
"WIF1","GLUL",2,-0.7558,"-1"
"WIF1","CLU",2,-0.9592,"-1"
"WIF1","FTH1",2,-0.935,"-1"
"PDE6G","NRL",2,-0.7032,"-1"
"NRL","HSP90AA1",2,-0.9668,"-1"
"NRL","RGR",2,-0.5204,"-1"
"IGFBP5","HSP90AA1",2,-0.7372,"-1"
"IGFBP5","RGR",2,-0.9692,"-1"
"RHO","PTMA",2,-0.6062,"-1"
"ROM1","GNAT1",2,-0.551,"-1"
"CALM1","TF",2,-0.9878,"-1"
"AIPL1","CRABP1",2,-0.8608,"-1"
"AIPL1","FTH1",2,-0.9884,"-1"
"HSP90AA1","GLUL",2,-0.7462,"-1"
"PTMA","VIM",2,-0.9946,"-1"
"PTMA","CLU",2,-0.6896,"-1"
"CRABP1","RGR",2,-0.91,"-1"
"CRABP1","FRZB",2,-0.9284,"-1"
"CRABP1","HSPA1A",2,-0.9254,"-1"
"CRABP1","CLU",2,-0.7768,"-1"
"CRABP1","JUN",2,-0.7634,"-1"
"CRABP1","GAPDH",2,-0.9636,"-1"
"CRABP1","FTH1",2,-0.9678,"-1"
"RGR","RTN4",2,-0.924,"-1"
"RGR","FRZB",2,-0.7044,"-1"
"RGR","HSPA1A",2,-0.7438,"-1"
"RGR","TF",2,-0.83,"-1"
"RTN4","HSPA1A",2,-0.9258,"-1"
"RTN4","GLUL",2,-0.7622,"-1"
"FRZB","CLU",2,-0.587,"-1"
"HSPA1A","CLU",2,-0.6964,"-1"
"H3F3B","JUN",2,-0.9872,"-1"
"H3F3B","TF",2,-0.9792,"-1"
"H3F3B","FTH1",2,-0.9652,"-1"
"GLUL","TF",2,-0.5534,"-1"
"CLU","FTH1",2,-0.6456,"-1"
"JUN","TF",2,-0.9732,"-1"
